Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
YQ35	2024-07-11 22:09:52.000	Rubezahl_FRF_29102022_1043.MP4	728.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/YQ35.MP4	0.0	728.160	25.000	Rubezahl	FRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/YQ35.MP4	0	NA	
YQ35	2024-07-11 22:09:52.000	Rubezahl_FRF_29102022_1043.MP4	728.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/YQ35.MP4	0.0	728.160	25.000	Rubezahl	FRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	0.000	H:/Individual recognition vids/Blind videos/YQ35.MP4	0	NA	
YQ35	2024-07-11 22:09:52.000	Rubezahl_FRF_29102022_1043.MP4	728.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/YQ35.MP4	0.0	728.160	25.000	Rubezahl	FRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		Vig	Time budget	Short Neck	START	0.000	H:/Individual recognition vids/Blind videos/YQ35.MP4	0	NA	
YQ35	2024-07-11 22:09:52.000	Rubezahl_FRF_29102022_1043.MP4	728.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/YQ35.MP4	0.0	728.160	25.000	Rubezahl	FRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	3.800	H:/Individual recognition vids/Blind videos/YQ35.MP4	95	NA	
YQ35	2024-07-11 22:09:52.000	Rubezahl_FRF_29102022_1043.MP4	728.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/YQ35.MP4	0.0	728.160	25.000	Rubezahl	FRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	8.800	H:/Individual recognition vids/Blind videos/YQ35.MP4	220	NA	
YQ35	2024-07-11 22:09:52.000	Rubezahl_FRF_29102022_1043.MP4	728.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/YQ35.MP4	0.0	728.160	25.000	Rubezahl	FRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		FVO	Reaction	Distance	POINT	9.520	H:/Individual recognition vids/Blind videos/YQ35.MP4	238	NA	
YQ35	2024-07-11 22:09:52.000	Rubezahl_FRF_29102022_1043.MP4	728.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/YQ35.MP4	0.0	728.160	25.000	Rubezahl	FRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		FVO	Reaction	Distance	POINT	10.720	H:/Individual recognition vids/Blind videos/YQ35.MP4	268	NA	
YQ35	2024-07-11 22:09:52.000	Rubezahl_FRF_29102022_1043.MP4	728.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/YQ35.MP4	0.0	728.160	25.000	Rubezahl	FRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		FVO	Reaction	Other	POINT	12.320	H:/Individual recognition vids/Blind videos/YQ35.MP4	308	NA	
YQ35	2024-07-11 22:09:52.000	Rubezahl_FRF_29102022_1043.MP4	728.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/YQ35.MP4	0.0	728.160	25.000	Rubezahl	FRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		FVO	Reaction	Distance	POINT	13.400	H:/Individual recognition vids/Blind videos/YQ35.MP4	335	NA	
YQ35	2024-07-11 22:09:52.000	Rubezahl_FRF_29102022_1043.MP4	728.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/YQ35.MP4	0.0	728.160	25.000	Rubezahl	FRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		FVO	Reaction	Distance	POINT	15.440	H:/Individual recognition vids/Blind videos/YQ35.MP4	386	NA	
YQ35	2024-07-11 22:09:52.000	Rubezahl_FRF_29102022_1043.MP4	728.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/YQ35.MP4	0.0	728.160	25.000	Rubezahl	FRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		FVO	Reaction	Distance	POINT	16.960	H:/Individual recognition vids/Blind videos/YQ35.MP4	424	NA	
YQ35	2024-07-11 22:09:52.000	Rubezahl_FRF_29102022_1043.MP4	728.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/YQ35.MP4	0.0	728.160	25.000	Rubezahl	FRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		FVO	Reaction	Other	POINT	18.920	H:/Individual recognition vids/Blind videos/YQ35.MP4	473	NA	
YQ35	2024-07-11 22:09:52.000	Rubezahl_FRF_29102022_1043.MP4	728.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/YQ35.MP4	0.0	728.160	25.000	Rubezahl	FRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		FVO	Reaction	Other	POINT	20.640	H:/Individual recognition vids/Blind videos/YQ35.MP4	516	NA	
YQ35	2024-07-11 22:09:52.000	Rubezahl_FRF_29102022_1043.MP4	728.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/YQ35.MP4	0.0	728.160	25.000	Rubezahl	FRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	21.240	H:/Individual recognition vids/Blind videos/YQ35.MP4	531	NA	
YQ35	2024-07-11 22:09:52.000	Rubezahl_FRF_29102022_1043.MP4	728.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/YQ35.MP4	0.0	728.160	25.000	Rubezahl	FRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		FVO	Reaction	Other	POINT	21.400	H:/Individual recognition vids/Blind videos/YQ35.MP4	535	NA	
YQ35	2024-07-11 22:09:52.000	Rubezahl_FRF_29102022_1043.MP4	728.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/YQ35.MP4	0.0	728.160	25.000	Rubezahl	FRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		FVO	Reaction	Other	POINT	22.760	H:/Individual recognition vids/Blind videos/YQ35.MP4	569	NA	
YQ35	2024-07-11 22:09:52.000	Rubezahl_FRF_29102022_1043.MP4	728.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/YQ35.MP4	0.0	728.160	25.000	Rubezahl	FRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		FVO	Reaction	Other	POINT	25.240	H:/Individual recognition vids/Blind videos/YQ35.MP4	631	NA	
YQ35	2024-07-11 22:09:52.000	Rubezahl_FRF_29102022_1043.MP4	728.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/YQ35.MP4	0.0	728.160	25.000	Rubezahl	FRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		FVO	Reaction	Other	POINT	27.960	H:/Individual recognition vids/Blind videos/YQ35.MP4	699	NA	
YQ35	2024-07-11 22:09:52.000	Rubezahl_FRF_29102022_1043.MP4	728.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/YQ35.MP4	0.0	728.160	25.000	Rubezahl	FRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		FVO	Reaction	Other	POINT	30.880	H:/Individual recognition vids/Blind videos/YQ35.MP4	772	NA	
YQ35	2024-07-11 22:09:52.000	Rubezahl_FRF_29102022_1043.MP4	728.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/YQ35.MP4	0.0	728.160	25.000	Rubezahl	FRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		FVO	Reaction	Other	POINT	32.240	H:/Individual recognition vids/Blind videos/YQ35.MP4	806	NA	
YQ35	2024-07-11 22:09:52.000	Rubezahl_FRF_29102022_1043.MP4	728.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/YQ35.MP4	0.0	728.160	25.000	Rubezahl	FRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	35.800	H:/Individual recognition vids/Blind videos/YQ35.MP4	895	NA	
YQ35	2024-07-11 22:09:52.000	Rubezahl_FRF_29102022_1043.MP4	728.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/YQ35.MP4	0.0	728.160	25.000	Rubezahl	FRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		FVO	Reaction	Other	POINT	36.600	H:/Individual recognition vids/Blind videos/YQ35.MP4	915	NA	
YQ35	2024-07-11 22:09:52.000	Rubezahl_FRF_29102022_1043.MP4	728.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/YQ35.MP4	0.0	728.160	25.000	Rubezahl	FRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	39.040	H:/Individual recognition vids/Blind videos/YQ35.MP4	976	NA	
YQ35	2024-07-11 22:09:52.000	Rubezahl_FRF_29102022_1043.MP4	728.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/YQ35.MP4	0.0	728.160	25.000	Rubezahl	FRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		FVO	Reaction	Other	POINT	39.200	H:/Individual recognition vids/Blind videos/YQ35.MP4	980	NA	
YQ35	2024-07-11 22:09:52.000	Rubezahl_FRF_29102022_1043.MP4	728.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/YQ35.MP4	0.0	728.160	25.000	Rubezahl	FRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	39.280	H:/Individual recognition vids/Blind videos/YQ35.MP4	982	NA	
