Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...27
Longshanks_FRP_23102022_1023	2024-01-23T22:44:29Z	NA	862.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/FC13.MP4	862.56	25	Longshanks	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Ass	Interaction	Kin	START	0	G:/Individual recognition vids/Blind videos/FC13.MP4	0	NA	NA
Longshanks_FRP_23102022_1023	2024-01-23T22:44:29Z	NA	862.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/FC13.MP4	862.56	25	Longshanks	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Mov	Locomotion	Away from speaker	START	0	G:/Individual recognition vids/Blind videos/FC13.MP4	0	NA	NA
Longshanks_FRP_23102022_1023	2024-01-23T22:44:29Z	NA	862.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/FC13.MP4	862.56	25	Longshanks	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Vig	Time budget	Mid neck	START	0	G:/Individual recognition vids/Blind videos/FC13.MP4	NA	NA	NA
Longshanks_FRP_23102022_1023	2024-01-23T22:44:29Z	NA	862.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/FC13.MP4	862.56	25	Longshanks	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	2.44	G:/Individual recognition vids/Blind videos/FC13.MP4	61	NA	NA
Longshanks_FRP_23102022_1023	2024-01-23T22:44:29Z	NA	862.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/FC13.MP4	862.56	25	Longshanks	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	5.36	G:/Individual recognition vids/Blind videos/FC13.MP4	134	NA	NA
Longshanks_FRP_23102022_1023	2024-01-23T22:44:29Z	NA	862.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/FC13.MP4	862.56	25	Longshanks	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Fllw	Interaction	Kin	POINT	7	G:/Individual recognition vids/Blind videos/FC13.MP4	175	NA	NA
Longshanks_FRP_23102022_1023	2024-01-23T22:44:29Z	NA	862.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/FC13.MP4	862.56	25	Longshanks	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	17.68	G:/Individual recognition vids/Blind videos/FC13.MP4	442	NA	NA
Longshanks_FRP_23102022_1023	2024-01-23T22:44:29Z	NA	862.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/FC13.MP4	862.56	25	Longshanks	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	20.12	G:/Individual recognition vids/Blind videos/FC13.MP4	503	NA	NA
Longshanks_FRP_23102022_1023	2024-01-23T22:44:29Z	NA	862.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/FC13.MP4	862.56	25	Longshanks	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Fllw	Interaction	Kin	POINT	25	G:/Individual recognition vids/Blind videos/FC13.MP4	625	NA	NA
Longshanks_FRP_23102022_1023	2024-01-23T22:44:29Z	NA	862.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/FC13.MP4	862.56	25	Longshanks	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	30.24	G:/Individual recognition vids/Blind videos/FC13.MP4	756	NA	NA
