Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...28
Lukka_PRF_24102022_1115	2024-01-22T19:47:16Z	Lukka_PRF_24102022_1115.MP4	628.32	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/EL91.MP4	0	628.32	25	Lukka	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Ass	Interaction	Other	START	0	H:/Individual recognition vids/Blind videos/EL91.MP4	0	NA	NA
Lukka_PRF_24102022_1115	2024-01-22T19:47:16Z	Lukka_PRF_24102022_1115.MP4	628.32	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/EL91.MP4	0	628.32	25	Lukka	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Vig	Time budget	Mid neck	START	0	H:/Individual recognition vids/Blind videos/EL91.MP4	0	NA	NA
Lukka_PRF_24102022_1115	2024-01-22T19:47:16Z	Lukka_PRF_24102022_1115.MP4	628.32	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/EL91.MP4	0	628.32	25	Lukka	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	At speaker	POINT	0.72	H:/Individual recognition vids/Blind videos/EL91.MP4	18	NA	NA
Lukka_PRF_24102022_1115	2024-01-22T19:47:16Z	Lukka_PRF_24102022_1115.MP4	628.32	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/EL91.MP4	0	628.32	25	Lukka	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	Away from speaker	POINT	3.76	H:/Individual recognition vids/Blind videos/EL91.MP4	94	NA	NA
Lukka_PRF_24102022_1115	2024-01-22T19:47:16Z	Lukka_PRF_24102022_1115.MP4	628.32	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/EL91.MP4	0	628.32	25	Lukka	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	Away from speaker	POINT	5.12	H:/Individual recognition vids/Blind videos/EL91.MP4	128	NA	NA
Lukka_PRF_24102022_1115	2024-01-22T19:47:16Z	Lukka_PRF_24102022_1115.MP4	628.32	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/EL91.MP4	0	628.32	25	Lukka	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Htlt	Reaction	NA	POINT	5.36	H:/Individual recognition vids/Blind videos/EL91.MP4	134	NA	NA
Lukka_PRF_24102022_1115	2024-01-22T19:47:16Z	Lukka_PRF_24102022_1115.MP4	628.32	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/EL91.MP4	0	628.32	25	Lukka	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	Away from speaker	POINT	7.52	H:/Individual recognition vids/Blind videos/EL91.MP4	188	NA	NA
Lukka_PRF_24102022_1115	2024-01-22T19:47:16Z	Lukka_PRF_24102022_1115.MP4	628.32	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/EL91.MP4	0	628.32	25	Lukka	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	Away from speaker	POINT	17.44	H:/Individual recognition vids/Blind videos/EL91.MP4	436	NA	NA
Lukka_PRF_24102022_1115	2024-01-22T19:47:16Z	Lukka_PRF_24102022_1115.MP4	628.32	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/EL91.MP4	0	628.32	25	Lukka	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	At speaker	POINT	25.48	H:/Individual recognition vids/Blind videos/EL91.MP4	637	NA	NA
Lukka_PRF_24102022_1115	2024-01-22T19:47:16Z	Lukka_PRF_24102022_1115.MP4	628.32	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/EL91.MP4	0	628.32	25	Lukka	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	At speaker	POINT	27.72	H:/Individual recognition vids/Blind videos/EL91.MP4	693	NA	NA
Lukka_PRF_24102022_1115	2024-01-22T19:47:16Z	Lukka_PRF_24102022_1115.MP4	628.32	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/EL91.MP4	0	628.32	25	Lukka	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	Away from speaker	POINT	31.28	H:/Individual recognition vids/Blind videos/EL91.MP4	782	NA	NA
Lukka_PRF_24102022_1115	2024-01-22T19:47:16Z	Lukka_PRF_24102022_1115.MP4	628.32	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/EL91.MP4	0	628.32	25	Lukka	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Vig	Time budget	Mid neck	STOP	32.359	H:/Individual recognition vids/Blind videos/EL91.MP4	NA	NA	NA
Lukka_PRF_24102022_1115	2024-01-22T19:47:16Z	Lukka_PRF_24102022_1115.MP4	628.32	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/EL91.MP4	0	628.32	25	Lukka	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Pre	Time budget	With kin	START	32.36	H:/Individual recognition vids/Blind videos/EL91.MP4	809	NA	NA
Lukka_PRF_24102022_1115	2024-01-22T19:47:16Z	Lukka_PRF_24102022_1115.MP4	628.32	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/EL91.MP4	0	628.32	25	Lukka	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Pre	Time budget	With kin	STOP	38.839	H:/Individual recognition vids/Blind videos/EL91.MP4	NA	NA	NA
Lukka_PRF_24102022_1115	2024-01-22T19:47:16Z	Lukka_PRF_24102022_1115.MP4	628.32	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/EL91.MP4	0	628.32	25	Lukka	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	At speaker	POINT	38.84	H:/Individual recognition vids/Blind videos/EL91.MP4	971	NA	NA
Lukka_PRF_24102022_1115	2024-01-22T19:47:16Z	Lukka_PRF_24102022_1115.MP4	628.32	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/EL91.MP4	0	628.32	25	Lukka	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Vig	Time budget	Mid neck	START	38.84	H:/Individual recognition vids/Blind videos/EL91.MP4	971	NA	NA
Lukka_PRF_24102022_1115	2024-01-22T19:47:16Z	Lukka_PRF_24102022_1115.MP4	628.32	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/EL91.MP4	0	628.32	25	Lukka	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	Away from speaker	POINT	42.52	H:/Individual recognition vids/Blind videos/EL91.MP4	1063	NA	NA
