Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...28
Emu_PRF_20102022_1052	2024-03-09T20:48:01Z	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0	915.84	25	Emu	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Ass	Interaction	Kin	START	0	H:/Individual recognition vids/Blind videos/KI15.MP4	NA	NA	NA
Emu_PRF_20102022_1052	2024-03-09T20:48:01Z	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0	915.84	25	Emu	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Vig	Time budget	Short Neck	START	0	H:/Individual recognition vids/Blind videos/KI15.MP4	0	NA	NA
Emu_PRF_20102022_1052	2024-03-09T20:48:01Z	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0	915.84	25	Emu	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Vig	Time budget	Short Neck	STOP	2.719	H:/Individual recognition vids/Blind videos/KI15.MP4	NA	NA	NA
Emu_PRF_20102022_1052	2024-03-09T20:48:01Z	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0	915.84	25	Emu	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Pre	Time budget	With kin	START	2.72	H:/Individual recognition vids/Blind videos/KI15.MP4	68	NA	NA
Emu_PRF_20102022_1052	2024-03-09T20:48:01Z	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0	915.84	25	Emu	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Pre	Time budget	With kin	STOP	8.999	H:/Individual recognition vids/Blind videos/KI15.MP4	NA	NA	NA
Emu_PRF_20102022_1052	2024-03-09T20:48:01Z	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0	915.84	25	Emu	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	9	H:/Individual recognition vids/Blind videos/KI15.MP4	225	NA	NA
Emu_PRF_20102022_1052	2024-03-09T20:48:01Z	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0	915.84	25	Emu	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Vig	Time budget	Mid neck	START	9	H:/Individual recognition vids/Blind videos/KI15.MP4	225	NA	NA
Emu_PRF_20102022_1052	2024-03-09T20:48:01Z	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0	915.84	25	Emu	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	11.28	H:/Individual recognition vids/Blind videos/KI15.MP4	282	NA	NA
Emu_PRF_20102022_1052	2024-03-09T20:48:01Z	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0	915.84	25	Emu	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	12.24	H:/Individual recognition vids/Blind videos/KI15.MP4	306	NA	NA
Emu_PRF_20102022_1052	2024-03-09T20:48:01Z	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0	915.84	25	Emu	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	15.36	H:/Individual recognition vids/Blind videos/KI15.MP4	384	NA	NA
Emu_PRF_20102022_1052	2024-03-09T20:48:01Z	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0	915.84	25	Emu	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Vig	Time budget	Mid neck	STOP	16.719	H:/Individual recognition vids/Blind videos/KI15.MP4	NA	NA	NA
Emu_PRF_20102022_1052	2024-03-09T20:48:01Z	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0	915.84	25	Emu	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Pre	Time budget	With kin	START	16.72	H:/Individual recognition vids/Blind videos/KI15.MP4	418	NA	NA
Emu_PRF_20102022_1052	2024-03-09T20:48:01Z	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0	915.84	25	Emu	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	28.76	H:/Individual recognition vids/Blind videos/KI15.MP4	719	NA	NA
Emu_PRF_20102022_1052	2024-03-09T20:48:01Z	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0	915.84	25	Emu	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Pre	Time budget	With kin	STOP	29.159	H:/Individual recognition vids/Blind videos/KI15.MP4	NA	NA	NA
Emu_PRF_20102022_1052	2024-03-09T20:48:01Z	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0	915.84	25	Emu	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Vig	Time budget	Mid neck	START	29.16	H:/Individual recognition vids/Blind videos/KI15.MP4	729	NA	NA
Emu_PRF_20102022_1052	2024-03-09T20:48:01Z	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0	915.84	25	Emu	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	30.52	H:/Individual recognition vids/Blind videos/KI15.MP4	763	NA	NA
Emu_PRF_20102022_1052	2024-03-09T20:48:01Z	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0	915.84	25	Emu	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Vig	Time budget	Mid neck	STOP	32.479	H:/Individual recognition vids/Blind videos/KI15.MP4	NA	NA	NA
Emu_PRF_20102022_1052	2024-03-09T20:48:01Z	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0	915.84	25	Emu	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Pre	Time budget	With kin	START	32.48	H:/Individual recognition vids/Blind videos/KI15.MP4	812	NA	NA
Emu_PRF_20102022_1052	2024-03-09T20:48:01Z	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0	915.84	25	Emu	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	44.24	H:/Individual recognition vids/Blind videos/KI15.MP4	1106	NA	NA
Emu_PRF_20102022_1052	2024-03-09T20:48:01Z	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0	915.84	25	Emu	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Pre	Time budget	With kin	STOP	44.839	H:/Individual recognition vids/Blind videos/KI15.MP4	NA	NA	NA
Emu_PRF_20102022_1052	2024-03-09T20:48:01Z	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0	915.84	25	Emu	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Vig	Time budget	Mid neck	START	44.84	H:/Individual recognition vids/Blind videos/KI15.MP4	1121	NA	NA
Emu_PRF_20102022_1052	2024-03-09T20:48:01Z	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0	915.84	25	Emu	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	46.36	H:/Individual recognition vids/Blind videos/KI15.MP4	1159	NA	NA
Emu_PRF_20102022_1052	2024-03-09T20:48:01Z	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0	915.84	25	Emu	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	47.16	H:/Individual recognition vids/Blind videos/KI15.MP4	1179	NA	NA
Emu_PRF_20102022_1052	2024-03-09T20:48:01Z	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0	915.84	25	Emu	PRF	NA	2022-09-11T10:00:00Z	Centre	Sunny	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	49.76	H:/Individual recognition vids/Blind videos/KI15.MP4	1244	NA	NA
