Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
WZ29	2024-07-04 04:10:46	Repititon, check which is better	709.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WZ29.MP4	709.440	25.000	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/WZ29.MP4	0	NA	
WZ29	2024-07-04 04:10:46	Repititon, check which is better	709.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WZ29.MP4	709.440	25.000	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Rst	Time budget	With kin	START	0.000	H:/Individual recognition vids/Blind videos/WZ29.MP4	0	NA	
WZ29	2024-07-04 04:10:46	Repititon, check which is better	709.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WZ29.MP4	709.440	25.000	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		FVO	Reaction	Distance	POINT	9.520	H:/Individual recognition vids/Blind videos/WZ29.MP4	238	NA	
WZ29	2024-07-04 04:10:46	Repititon, check which is better	709.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WZ29.MP4	709.440	25.000	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		FVO	Reaction	Distance	POINT	13.160	H:/Individual recognition vids/Blind videos/WZ29.MP4	329	NA	
WZ29	2024-07-04 04:10:46	Repititon, check which is better	709.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WZ29.MP4	709.440	25.000	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		FVO	Reaction	Distance	POINT	14.480	H:/Individual recognition vids/Blind videos/WZ29.MP4	362	NA	
WZ29	2024-07-04 04:10:46	Repititon, check which is better	709.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WZ29.MP4	709.440	25.000	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		FVO	Reaction	Distance	POINT	18.320	H:/Individual recognition vids/Blind videos/WZ29.MP4	458	NA	
WZ29	2024-07-04 04:10:46	Repititon, check which is better	709.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WZ29.MP4	709.440	25.000	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		FVO	Reaction	Distance	POINT	24.040	H:/Individual recognition vids/Blind videos/WZ29.MP4	601	NA	
WZ29	2024-07-04 04:10:46	Repititon, check which is better	709.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WZ29.MP4	709.440	25.000	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		FVO	Reaction	Recruitment	POINT	45.920	H:/Individual recognition vids/Blind videos/WZ29.MP4	1148	NA	
WZ29	2024-07-04 04:10:46	Repititon, check which is better	709.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WZ29.MP4	709.440	25.000	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		FVO	Reaction	Recruitment	POINT	47.720	H:/Individual recognition vids/Blind videos/WZ29.MP4	1193	NA	
WZ29	2024-07-04 04:10:46	Repititon, check which is better	709.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WZ29.MP4	709.440	25.000	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Rst	Time budget	With kin	STOP	70.159	H:/Individual recognition vids/Blind videos/WZ29.MP4	NA	NA	
